PM2_5,PM10,Temp,Hum,Hum_Ref,Temp_Ref,PM2_5_Ref
11.0,12.0,31.3,75.0,92.0,32.5,14.65576
16.0,18.0,25.1,83.0,97.6,30.29,14.46166
13.0,14.0,23.7,85.0,96.9,29.62,14.70679
26.0,29.0,22.4,87.0,99.2,29.22,17.4632
24.0,27.0,22.4,87.0,99.0,28.77,19.61245
27.0,30.0,27.3,86.0,99.7,30.54,25.59827
22.0,24.0,32.1,81.0,94.7,31.98,24.73286
30.0,34.0,31.9,73.0,88.4,32.39,23.59532
14.0,15.0,31.9,71.0,89.1,32.83,20.77458
13.0,14.0,30.3,68.0,89.0,31.68,15.37142
16.0,18.0,27.6,66.0,79.17,30.99,20.97268
41.0,46.0,25.15,71.0,85.1,29.62,23.61247
24.0,27.0,24.4,76.0,88.7,29.1,26.21699
23.0,26.0,22.3,79.0,92.0,28.45,24.92422
32.0,37.0,22.9,93.0,99.8,29.36,41.03318
47.0,55.0,28.6,93.0,99.0,31.5,40.80142
20.0,22.0,29.5,75.0,86.2,31.89,14.97119
10.0,11.0,31.2,70.0,84.6,33.15,12.92358
7.0,8.0,31.7,67.0,77.75,33.38,14.69677
5.0,5.0,31.9,61.0,77.58,33.75,6.580371
6.0,6.0,32.0,57.0,70.98,34.04,11.56323
